Stream,NewLong,NewLat,Western_Pearlshell,Western_Ridged
Potlatch River,-116.4281587,46.79851643,10-100    ,NA
Potlatch River,-116.4008832,46.86181457,10-100    ,NA
Potlatch River,-116.4008832,46.86181457,10-100    ,NA
Red River,-115.38694,45.72926,10-100    ,NA
Red River,-115.38756,45.77768,10-100    ,NA
Red River,-115.38702,45.77884,10-100    ,NA
Redfish Lake Creek,-114.9006736,44.16668371,10-100    ,NA
Redfish Lake Creek,-114.9006736,44.16668371,10-100    ,NA
Redfish Lake Creek,-114.914051,44.150416,10-100    ,NA
Redfish Lake Creek,-114.914051,44.150416,10-100    ,NA
Redfish Lake Creek,-114.914051,44.150416,10-100    ,NA
Ruby Creek,-116.3769531,46.80675439,10-100    ,NA
Ruby Creek,-116.3769531,46.80675439,10-100    ,NA
Ruby Creek,-116.3769531,46.80675439,10-100    ,NA
Ruby Creek,-116.3711843,46.80926402,10-100    ,NA
Sheep Creek,-113.831627,45.486336,10-100    ,NA
South Fork Salmon River,-115.686656,44.754863,10-100    ,NA
South Fork Salmon River,-115.686656,44.754863,10-100    ,NA
South Fork Salmon River,-115.7191628,45.00260624,10-100    ,NA
South Fork Salmon River,-115.6966,44.794798,10-100    ,NA
South Fork Salmon River,-115.705701,44.684733,10-100    ,NA
South Fork Salmon River,-115.6958265,44.63270506,10-100    ,NA
South Fork Salmon River,-115.73746,44.92408,10-100    ,NA
South Fork Salmon River,-115.7013845,44.70467788,10-100    ,NA
South Fork Salmon River,-115.69436,44.63488,10-100    ,NA
South Fork Salmon River,-115.69436,44.63488,10-100    ,NA
Valley Creek,-115.0432866,44.30007493,10-100    ,NA
Valley Creek,-115.0432866,44.30007493,10-100    ,NA
Warm Lake Creek,-115.66044,44.65546,10-100    ,NA
Warm Lake Creek,-115.66044,44.65546,10-100    ,NA
Warm Lake Creek,-115.66044,44.65546,10-100    ,NA
West Fork Potlatch River,-116.4010084,46.91298097,10-100    ,NA
West Fork Potlatch River,-116.4010084,46.91298097,10-100    ,NA
West Fork Potlatch River,-116.429815,46.921229,10-100    ,NA
West Fork Potlatch River,-116.429815,46.921229,10-100    ,NA
West Fork Potlatch River,-116.429815,46.921229,10-100    ,NA
West Fork Potlatch River,-116.46394,46.94379999,10-100    ,NA
West Fork Potlatch River,-116.4532042,46.92552138,10-100    ,NA
West Fork Potlatch River,-116.4532042,46.92552138,10-100    ,NA
West Fork Potlatch River,-116.4603017,46.93401278,10-100    ,NA
West Fork Potlatch River,-116.4603017,46.93401278,10-100    ,NA
West Fork Potlatch River,-116.4133558,46.91809274,10-100    ,NA
West Fork Potlatch River,-116.439263,46.922583,10-100    ,NA
West Fork Potlatch River,-116.4113252,46.9440194,10-100    ,NA
American River,-115.4473,45.885,500-1000  ,NA
East Fork Potlatch River,-116.2822624,46.86506075,500-1000  ,NA
East Fork Potlatch River,-116.266972,46.87616525,500-1000  ,NA
Pahsimeroi River,-114.0399117,44.68355256,500-1000  ,NA
Red River,-115.30337,45.73973,500-1000  ,NA
Red River,-115.38694,45.72926,500-1000  ,NA
Ruby Creek,-116.3769531,46.80675439,500-1000  ,NA
South Fork Salmon River,-115.69626,44.7131,500-1000  ,NA
South Fork Salmon River,-115.7429389,44.92867194,500-1000  ,NA
South Fork Salmon River,-115.72468,44.963715,500-1000  ,NA
South Fork Salmon River,-115.705701,44.684733,500-1000  ,NA
South Fork Salmon River,-115.73919,44.94209,500-1000  ,NA
South Fork Salmon River,-115.7013845,44.70467788,500-1000  ,NA
Warm Lake Creek,-115.67373,44.65897,500-1000  ,NA
Elk Creek,-115.4559398,44.41778558,ShellsOnly,NA
Fish Creek,-115.3877756,46.36080213,ShellsOnly,NA
Lochsa River,-115.58437,46.16742,ShellsOnly,NA
Meadow Creek,-115.2895,46.02984,ShellsOnly,NA
Potlatch River,-116.46466,46.76457,ShellsOnly,NA
Potlatch River,-116.4416372,46.79000923,ShellsOnly,NA
Redfish Lake Creek,-114.914051,44.150416,ShellsOnly,NA
Salmon River,-114.8323221,44.00064331,ShellsOnly,NA
West Fork Potlatch River,-116.4010084,46.91298097,ShellsOnly,NA
Colt Killed Creek,-114.483587,46.413506,NA,NA
Big Bear Creek,-116.5950204,46.7820312,NA,NA
Big Bear Creek,-116.5950204,46.7820312,NA,NA
Pine Creek,-116.55128,46.71656999,NA,NA
Potlatch River,-116.4008832,46.86181457,NA,NA
Elk Creek,-115.4590811,44.414398,0-10      ,NA
South Fork Salmon River,-115.7429389,44.92867194,100-500   ,NA
South Fork Salmon River,-115.6966,44.794798,100-500   ,NA
South Fork Salmon River,-115.72468,44.963715,100-500   ,NA
South Fork Salmon River,-115.73919,44.94209,100-500   ,NA
South Fork Salmon River,-115.72572,44.91765,100-500   ,NA
Big Bear Creek,-116.5950204,46.7820312,NA,NA
South Fork Salmon River,-115.7191628,45.00260624,NA,NA
Bear Valley Creek,-115.3708834,44.40753681,10-100    ,NA
Little Salmon River,-116.3110092,45.20448643,10-100    ,NA
South Fork Salmon River,-115.6947947,44.85270757,10-100    ,NA
South Fork Salmon River,-115.73746,44.92408,10-100    ,NA
South Fork Salmon River,-115.6941066,45.03058992,10-100    ,NA
Crooked River,-115.5314,45.79842,NA,NA
Valley Creek,-114.98729,44.23296,100-500   ,NA
Loon Creek,-114.7745143,44.70747278,10-100    ,NA
Bear Creek,-115.0980599,44.45698696,NA,NA
Beaver Creek,-115.1682067,44.4069568,NA,NA
