Stream,Strata,Section,SectionID,SurveyDate,NewLong,NewLat,Small,Medium,Large,Corbicula_spp,California_Floater,Other_Mussel,Unknown_Mussel,Western_Pearlshell,Western_Ridged
East Fork Potlatch River,-99,136049,14615,6/3/2017,-116.3241738,46.85722521,1,1,1,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,144241,14613,6/4/2018,-116.2800126,46.86854852,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,168817,14611,6/6/2016,-116.3095872,46.8597482,1,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,182242,15354,6/6/2017,-116.3896422,46.82587364,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,182242,15354,6/4/2018,-116.3896422,46.82587364,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,2929,14102,6/6/2017,-116.2443776,46.87618506,1,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,34786,14100,6/6/2017,-116.382374,46.80715078,1,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,34786,14100,6/4/2018,-116.382374,46.80715078,0,0,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,359394,16502,6/2/2018,-116.3490442,46.84777,0,0,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,457698,16349,6/3/2017,-116.36616,46.84909366,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,457698,16349,6/4/2018,-116.36616,46.84909366,0,1,0,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,45937,14103,6/6/2016,-116.2853884,46.86095109,0,1,1,NA,NA,NA,NA,10-100    ,NA
East Fork Potlatch River,-99,45937,14103,6/5/2017,-116.2853884,46.86095109,1,1,1,NA,NA,NA,NA,10-100    ,NA
